"duration";"Q_RecaptchaScore";"Q_RelevantIDFraudScore";"gender";"nationality";"ethnicity";"age";"preferred_game_name";"gaming_time";"gaming_related_activities_time";"online_gaming_time";"offline_gaming_time";"playing_esports";"rank";"team_membership";"playing_with_offline_friends";"MOGQ_social1";"MOGQ_social2";"MOGQ_social3";"MOGQ_social4";"MOGQ_escape1";"MOGQ_escape2";"MOGQ_escape3";"MOGQ_escape4";"MOGQ_competition1";"MOGQ_competition2";"MOGQ_competition3";"MOGQ_competition4";"MOGQ_coping1";"MOGQ_coping2";"MOGQ_coping3";"MOGQ_coping4";"IGCQ_1";"IGCQ_2";"IGCQ_3";"IGCQ_4";"attention_check_1";"IGDS9SF_1";"IGDS9SF_2";"IGDS9SF_3";"IGDS9SF_4";"IGDS9SF_5";"IGDS9SF_6";"IGDS9SF_7";"IGDS9SF_8";"IGDS9SF_9";"GDT_1";"GDT_2";"GDT_3";"GDT_4";"IGD_alternative_criterion2";"IGD_alternative_criterion5";"IGD_alternative_criterion6";"IGD_alternative_criterion3";"IGD_alternative_craving";"IGD_alternative_health";"BFRS_1";"BFRS_2";"BFRS_3";"BFRS_4";"BFRS_5";"BFRS_6";"BFRS_7";"BSCS_1";"BSCS_2";"BSCS_3";"BSCS_4";"BSCS_5";"BSCS_6";"BSCS_7";"BSCS_8";"BSCS_9";"BSCS_10";"BSCS_11";"BSCS_12";"BSCS_13";"attention_check_2";"neuroticism_1";"neuroticism_2";"neuroticism_3";"neuroticism_4";"neuroticism_5";"neuroticism_6";"neuroticism_7";"neuroticism_8";"neuroticism_9";"neuroticism_10";"DJGLS_1";"DJGLS_2";"DJGLS_3";"DJGLS_4";"DJGLS_5";"DJGLS_6";"harm_avoidance_1";"harm_avoidance_2";"harm_avoidance_3";"harm_avoidance_4";"harm_avoidance_5";"harm_avoidance_6";"harm_avoidance_7";"harm_avoidance_8";"harm_avoidance_9";"harm_avoidance_10";"BAS_reward_1";"BAS_reward_2";"BAS_reward_3";"BAS_reward_4";"BAS_reward_5"
831;0,9;0;0;"Polish";"White";20;"FPS, MOBA, Stategy games";3;1;85;15;0;NA;0;5;NA;2;NA;3;3;1;NA;NA;4;3;NA;NA;NA;3;1;NA;1;2;1;2;1;1;1;1;2;2;3;2;1;1;2;1;3;2;1;2;2;2;3;1;2;2;3;NA;NA;NA;2;4;3;NA;NA;NA;4;2;4;NA;2;NA;NA;2;1;3;3;NA;2;NA;2;3;NA;NA;NA;NA;NA;NA;2;3;3;NA;2;4;3;3;NA;NA;NA;NA;2;2;2;2;NA;NA
819;1;0;0;"Chilean";"Hispanic";25;"MMORPG";6;5;61;39;0;NA;1;4;4;NA;NA;4;3;NA;NA;4;3;NA;NA;4;NA;5;NA;4;1;2;1;1;1;2;2;2;2;1;3;4;4;1;1;2;3;2;1;1;2;1;1;1;3;NA;NA;NA;2;3;3;4;NA;NA;NA;3;5;NA;3;4;NA;4;NA;3;1;NA;NA;NA;2;NA;4;1;4;NA;4;NA;NA;1;2;3;NA;NA;2;4;NA;NA;NA;5;3;4;NA;NA;1;NA;1;1
815;1;0;0;"French";"Caucasian";20;"Rocket league";5;6;80;20;1;"Diamond";0;5;NA;NA;1;1;3;NA;4;NA;4;4;NA;NA;2;4;NA;NA;1;1;2;3;1;1;4;2;3;2;3;3;4;1;3;3;3;2;2;2;3;2;2;3;3;1;NA;NA;3;NA;3;2;NA;4;NA;NA;NA;5;1;NA;3;NA;3;4;1;NA;NA;NA;4;NA;3;2;3;NA;2;NA;1;1;1;NA;NA;NA;2;5;1;1;NA;NA;NA;NA;2;1;2;NA;NA;2
507;1;0;0;"Portuguese";"Caucasian";22;"FIFA";2;4;80;20;0;NA;0;4;NA;1;NA;1;2;2;NA;NA;3;NA;2;NA;4;4;NA;NA;1;1;1;2;1;4;1;2;2;3;1;1;3;1;3;3;2;1;1;2;1;3;3;3;2;1;NA;NA;NA;3;3;3;NA;2;1;NA;4;NA;3;2;5;NA;NA;NA;1;NA;1;NA;2;NA;2;NA;4;4;NA;1;NA;NA;2;NA;4;NA;NA;4;NA;NA;2;2;2;3;NA;1;2;NA;2;NA
1012;1;0;0;"Poland";"White";19;"Survival";5;3;65;35;0;NA;0;4;NA;4;NA;5;5;4;NA;NA;5;3;NA;NA;5;5;NA;NA;2;2;3;2;1;4;2;3;2;1;1;2;5;1;2;3;3;1;2;2;2;1;4;3;3;2;3;NA;NA;NA;2;3;NA;5;3;2;NA;5;2;NA;NA;1;NA;NA;1;2;NA;NA;4;NA;2;NA;2;NA;2;1;NA;NA;2;NA;3;NA;NA;2;NA;2;1;2;NA;NA;3;2;1;NA;NA;3
513;1;0;2;"Chilean";"Latino";24;"League of legends";4;6;60;40;0;NA;0;3;1;NA;NA;3;2;NA;NA;1;1;3;NA;NA;NA;2;NA;2;2;2;1;1;1;2;1;1;1;3;4;1;1;2;2;1;2;2;1;2;2;2;3;2;2;NA;NA;2;2;NA;2;3;3;NA;NA;3;NA;NA;2;4;5;NA;3;NA;1;2;2;NA;3;4;2;NA;NA;NA;NA;NA;3;NA;3;5;NA;4;NA;4;4;NA;NA;5;1;NA;NA;2;2;NA;2;NA
578;0,4;NA;0;"Hungarian";"Caucasian";18;"Souls-like games";6;16;25;75;1;"Gold";0;5;NA;NA;4;3;4;NA;3;NA;1;NA;NA;2;NA;4;1;NA;2;1;1;1;1;4;1;1;1;1;2;1;3;1;1;4;2;3;1;1;1;1;1;3;2;NA;1;NA;NA;1;2;3;NA;5;5;3;NA;1;1;5;NA;NA;NA;NA;1;NA;NA;1;1;NA;2;NA;NA;2;4;NA;1;1;2;NA;NA;NA;5;4;1;1;NA;NA;NA;NA;1;NA;1;NA;1;2
893;1;0;0;"polish";"polish";18;"visual novels";9;14;31;69;0;NA;0;5;NA;1;NA;2;3;2;NA;NA;2;NA;NA;1;5;4;NA;NA;2;1;1;2;1;4;2;1;1;1;4;1;2;1;1;3;3;1;3;2;4;2;5;4;2;1;NA;2;NA;3;NA;2;NA;5;3;NA;4;NA;2;3;NA;3;NA;NA;1;NA;NA;3;2;NA;3;NA;3;NA;2;3;NA;NA;2;3;NA;3;4;5;NA;2;NA;2;NA;NA;NA;NA;1;2;NA;2
1279;1;0;1;"Poland";"Slav";19;"league of legends, Stardew Valley, osu";6;3;64;36;0;NA;0;4;NA;NA;2;4;3;NA;4;NA;2;2;NA;NA;4;2;NA;NA;1;1;1;2;1;3;1;2;3;3;4;1;4;3;4;3;4;3;2;3;4;3;3;4;2;2;NA;2;1;NA;NA;1;NA;NA;2;NA;NA;NA;3;NA;4;3;4;1;0;NA;1;4;4;NA;2;NA;2;NA;NA;1;NA;NA;4;1;NA;5;NA;4;NA;1;NA;1;NA;3;NA;NA;1;2;NA;2
538;1;0;0;"British";"White";50;"Immortals Fenyx Rising";2;1;0;100;0;NA;0;1;NA;NA;1;1;3;NA;2;NA;2;2;NA;NA;NA;3;2;NA;1;2;1;2;1;2;1;1;1;1;2;1;2;2;1;1;2;1;1;1;1;1;3;1;2;NA;2;NA;NA;3;2;3;NA;NA;2;NA;4;3;3;NA;NA;5;1;NA;1;NA;4;NA;1;2;4;4;NA;NA;NA;4;NA;NA;4;1;NA;NA;NA;5;1;1;NA;NA;3;NA;1;1;2;NA;2;NA
590;1;0;0;"Hong Konger";"Chinese";19;"Open-world action";2;8;15;85;0;NA;0;3;NA;2;NA;3;2;NA;1;NA;3;NA;NA;3;NA;2;NA;2;1;2;1;1;1;2;2;1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;3;2;3;3;NA;NA;NA;2;NA;4;4;NA;3;5;3;NA;2;NA;NA;NA;1;NA;4;NA;1;2;4;NA;2;NA;NA;3;NA;NA;2;2;NA;NA;4;4;NA;2;NA;4;3;NA;NA;1;1;2;NA;NA
527;1;0;0;"Polish";"White european";22;"Moba";3;1;75;25;1;"Diamond";0;3;NA;NA;2;4;5;NA;5;NA;3;NA;4;NA;NA;3;1;NA;1;2;3;2;1;2;4;3;2;2;2;1;4;1;3;3;3;2;4;2;2;2;3;3;3;NA;3;NA;3;3;NA;2;3;NA;NA;4;NA;NA;3;NA;2;NA;4;2;1;4;NA;NA;1;NA;3;4;NA;3;NA;NA;NA;2;3;NA;2;1;NA;3;3;NA;4;NA;NA;NA;3;2;2;NA;NA;2
485;1;0;0;"Polish";"Catholic";19;"Dead by daylight";4;3;100;0;0;NA;1;5;NA;NA;4;3;2;NA;1;NA;3;4;NA;NA;NA;2;NA;2;1;1;1;2;1;3;1;1;2;1;2;1;1;1;1;1;1;1;2;1;1;1;2;3;3;2;NA;NA;NA;3;3;4;3;NA;NA;1;NA;NA;5;2;NA;4;NA;2;1;NA;NA;3;1;1;4;NA;5;NA;NA;NA;NA;1;1;1;NA;2;NA;4;NA;2;3;NA;NA;3;NA;NA;2;2;NA;1
844;1;0;0;"Poland";"white";18;"action games";2;3;40;60;0;NA;0;4;NA;2;NA;2;5;4;NA;NA;2;NA;4;NA;NA;3;1;NA;1;1;3;1;1;2;2;2;2;1;3;2;4;2;3;4;3;3;1;1;4;2;3;3;2;NA;NA;2;2;2;NA;2;NA;4;NA;5;1;NA;2;4;NA;NA;5;NA;1;NA;5;NA;4;NA;2;NA;NA;2;1;NA;4;NA;4;NA;1;4;4;5;NA;1;NA;NA;1;NA;NA;1;1;2;NA;NA
745;1;0;0;"Poland";"White";19;"Arma 3";6;10;90;10;1;"Legendary Eagle";1;5;NA;NA;2;3;5;NA;NA;2;4;4;NA;NA;NA;2;NA;2;1;1;2;2;1;2;1;3;2;1;1;3;2;2;2;1;1;1;1;1;3;2;4;3;3;2;2;3;NA;NA;NA;4;NA;5;5;NA;5;NA;3;NA;1;NA;3;NA;1;2;NA;NA;2;1;3;NA;NA;3;NA;NA;2;3;2;NA;NA;NA;2;3;5;1;5;NA;NA;NA;NA;NA;2;2;NA;1
756;1;0;2;"Polish";"Poles";22;"Free to play";3;6;75;25;0;NA;0;2;2;NA;NA;2;5;NA;5;NA;5;NA;NA;5;4;4;NA;NA;1;2;3;1;1;3;3;2;3;2;3;2;4;1;3;2;4;2;2;2;4;2;3;3;2;NA;2;2;2;NA;NA;2;5;NA;NA;NA;NA;5;4;NA;4;NA;5;4;1;4;NA;NA;4;2;1;3;NA;NA;NA;4;NA;2;2;NA;NA;5;NA;5;NA;NA;NA;1;4;4;NA;NA;1;2;1;NA
756;1;0;0;"Mexican";"Mexican";22;"Smite or Call Of Duty (FPS or MOBA)";3;3;80;20;0;NA;0;4;2;NA;NA;4;4;NA;NA;4;4;5;NA;NA;NA;4;4;NA;1;2;2;1;1;3;3;3;2;4;2;2;5;1;2;2;4;1;2;3;4;3;4;3;3;NA;NA;3;3;3;NA;3;NA;4;4;NA;NA;4;3;5;4;NA;NA;NA;1;NA;3;NA;4;1;2;NA;4;NA;NA;NA;2;NA;2;1;NA;2;NA;5;NA;NA;NA;1;2;3;NA;1;1;NA;1;NA
449;1;0;1;"Danish";"Asian";22;"Genshin Impact";4;0;70;30;0;NA;0;3;NA;1;NA;2;4;NA;2;NA;1;NA;NA;1;NA;4;NA;2;1;1;1;2;1;2;2;1;2;2;2;1;3;1;3;4;3;1;2;2;3;1;3;3;2;1;2;NA;NA;NA;2;3;5;NA;NA;3;NA;5;2;NA;NA;NA;5;4;1;NA;4;NA;5;3;2;NA;3;NA;NA;NA;2;NA;1;NA;4;5;NA;5;2;NA;NA;5;1;NA;NA;NA;2;NA;2;2
620;1;0;0;"Portugal";"Caucasian";21;"CS:GO";6;4;61;39;0;NA;1;5;NA;4;NA;5;3;2;NA;NA;5;5;NA;NA;NA;1;NA;1;2;2;2;3;1;4;4;3;2;2;4;1;4;2;2;4;4;3;3;2;2;3;4;2;3;NA;3;NA;3;NA;3;4;2;NA;2;2;NA;NA;4;NA;1;NA;2;NA;1;NA;1;2;2;NA;4;NA;5;NA;NA;NA;NA;1;1;NA;4;1;NA;4;NA;NA;2;NA;1;NA;2;NA;2;1;1;NA
377;0,9;0;0;"Polish";"polish?/slavic?";22;"strategy";8;0;32;68;0;NA;0;4;NA;4;NA;1;1;NA;NA;1;2;2;NA;NA;NA;2;NA;2;1;1;1;2;1;2;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;2;2;2;2;NA;NA;NA;2;2;4;NA;NA;4;NA;2;5;3;NA;2;NA;2;NA;1;NA;3;2;1;NA;5;NA;NA;NA;3;3;NA;NA;2;NA;4;1;NA;3;NA;NA;5;NA;4;2;NA;2;2;NA;3;NA
385;1;0;0;"Portuguese";"Caucasian";24;"Role-Playing Games";3;1;16;84;0;NA;0;3;NA;NA;1;3;3;3;NA;NA;2;2;NA;NA;4;2;NA;NA;1;2;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;2;1;1;3;1;2;1;2;NA;NA;3;NA;4;NA;NA;1;NA;4;2;4;NA;NA;4;NA;2;1;NA;1;NA;1;3;5;NA;NA;4;NA;NA;2;NA;2;2;NA;2;NA;4;NA;1;2;2;NA;NA;NA;1;2;NA;NA;1
354;1;0;0;"English";"White";32;"FPS OR MMORPG";6;3;90;10;0;NA;0;5;3;NA;NA;4;4;NA;NA;4;3;NA;2;NA;NA;4;NA;4;1;2;2;2;1;3;2;3;2;3;3;1;4;1;2;3;3;2;3;4;4;3;4;2;2;3;NA;2;3;NA;NA;4;NA;1;NA;NA;2;2;5;3;1;NA;NA;NA;0;NA;NA;NA;2;NA;4;NA;3;4;3;2;NA;2;2;NA;NA;NA;4;4;NA;NA;NA;4;5;2;NA;NA;2;NA;2;2
1105;1;0;0;"Polish";"White";32;"FPS";4;2;90;10;1;"There are different games offering different ranks. Let's say my rank is 155.";1;5;NA;1;NA;2;4;1;NA;NA;5;NA;5;NA;NA;3;NA;4;1;1;1;1;1;2;1;2;1;2;1;2;4;2;1;2;1;2;1;2;1;2;2;4;2;2;NA;2;3;NA;NA;5;NA;3;NA;NA;4;4;4;3;4;NA;NA;NA;1;NA;NA;NA;2;1;4;3;3;NA;NA;NA;2;NA;3;4;NA;NA;NA;4;NA;3;4;NA;NA;3;4;2;2;NA;NA;1
506;1;0;1;"Poland";"White";20;"Rocket League";2;3;80;20;0;NA;1;4;4;NA;NA;4;4;2;NA;NA;3;NA;NA;4;NA;4;4;NA;1;2;1;2;1;2;3;3;3;1;2;2;4;1;2;2;2;2;3;2;2;2;2;3;3;NA;NA;3;3;3;NA;3;3;NA;NA;4;NA;4;2;NA;NA;NA;5;3;0;4;NA;NA;4;NA;2;NA;2;3;NA;NA;2;NA;2;2;NA;NA;4;3;4;NA;NA;NA;NA;4;3;1;1;NA;NA;1
721;1;0;0;"Hungarian";"White";19;"MOBA, FPS";10;2;97;3;0;NA;0;2;1;NA;NA;5;1;1;NA;NA;4;NA;4;NA;4;2;NA;NA;1;2;1;1;1;4;3;2;1;4;2;1;1;1;1;5;1;1;3;4;2;2;3;2;3;2;3;3;NA;NA;NA;4;NA;NA;NA;4;NA;NA;4;5;2;3;NA;1;1;4;NA;NA;3;NA;4;NA;NA;5;4;4;2;NA;1;NA;NA;NA;2;4;NA;NA;NA;NA;3;4;5;1;1;NA;2;NA
1314;0,9;0;0;"British";"Asian";41;"GTA V";2;1;20;80;0;NA;0;1;NA;4;NA;3;2;NA;3;NA;2;NA;1;NA;NA;3;3;NA;1;2;2;3;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;NA;NA;3;3;NA;3;NA;2;NA;1;NA;NA;4;NA;2;4;NA;1;1;NA;NA;2;2;NA;4;4;NA;NA;4;5;NA;5;2;NA;NA;2;NA;2;NA;NA;NA;1;NA;5;1;1;1;NA;NA;1
537;1;0;0;"Greek";"Greek";27;"Role playing games";4;1;100;0;1;"Diamond II";0;1;NA;5;NA;3;5;NA;5;NA;4;NA;2;NA;NA;5;2;NA;1;3;1;2;1;3;1;2;3;3;1;1;4;1;1;3;3;2;4;3;2;4;5;3;3;NA;2;2;NA;NA;3;3;NA;NA;1;2;NA;NA;4;NA;NA;5;1;1;1;NA;1;3;2;2;4;NA;NA;NA;NA;4;NA;NA;1;NA;3;NA;NA;5;4;2;NA;1;NA;NA;2;NA;1;1;1;NA
336;0,9;0;0;"British";"White";38;"MOBA";3;0;90;10;0;NA;0;3;2;NA;NA;2;2;2;NA;NA;4;NA;NA;4;4;4;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;3;2;3;2;2;NA;NA;3;NA;2;3;NA;NA;NA;NA;3;2;4;2;3;NA;NA;1;NA;NA;NA;2;NA;4;NA;4;5;4;4;NA;NA;2;NA;5;1;NA;1;NA;NA;5;NA;5;5;NA;NA;1;1;1;NA
724;1;30;0;"Canadian";"South Asian";22;"Call of Duty";3;3;75;25;0;NA;0;5;NA;2;NA;3;4;NA;3;NA;3;NA;2;NA;NA;4;1;NA;2;2;1;3;1;3;2;3;1;2;2;1;3;1;2;4;1;1;3;3;1;3;3;3;2;NA;3;NA;NA;2;2;4;3;2;NA;NA;3;4;2;3;NA;NA;NA;NA;1;NA;2;NA;2;1;3;2;NA;NA;NA;NA;1;2;2;NA;NA;2;2;4;4;NA;NA;NA;NA;NA;3;NA;1;1;1;NA
348;1;0;0;"italian";"italian";45;"role playing game";1;1;0;100;0;NA;0;2;NA;NA;1;1;4;3;NA;NA;1;1;NA;NA;NA;4;NA;3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;NA;1;NA;2;NA;2;3;4;NA;NA;NA;NA;2;3;NA;3;NA;2;1;4;NA;NA;1;2;4;NA;4;NA;NA;NA;4;NA;4;NA;2;4;NA;5;NA;NA;NA;1;1;NA;1;NA;1;NA;1;1
605;1;0;0;"British";"White";45;"Candy crush saga";2;1;75;25;0;NA;0;3;NA;NA;3;3;4;NA;4;NA;2;NA;4;NA;2;2;NA;NA;2;3;2;2;1;2;3;3;1;2;1;1;4;2;3;3;3;2;4;3;3;3;4;3;1;NA;NA;1;1;NA;1;2;4;NA;NA;NA;NA;4;2;NA;4;NA;4;5;1;4;NA;5;5;NA;1;NA;2;NA;NA;NA;5;NA;5;NA;1;NA;NA;4;NA;2;NA;2;3;NA;2;2;2;2;NA;NA
1404;1;0;0;"Italian";"White";24;"Platformers, Fighting games, FPS games";6;3;20;80;1;"The game I play (Smash Ultimate) doesn't have those online but I am ranked in my region for offline tournaments.";1;4;NA;NA;2;2;2;1;NA;NA;3;NA;3;NA;NA;2;1;NA;2;3;2;1;1;1;3;1;2;1;1;1;1;2;3;3;2;1;2;2;1;1;5;1;3;2;NA;3;NA;3;NA;2;3;3;NA;NA;NA;NA;3;3;NA;3;NA;1;1;NA;NA;NA;2;NA;2;NA;5;4;4;4;NA;4;1;NA;NA;5;NA;4;4;NA;3;NA;NA;3;NA;NA;1;1;1;NA
604;0,9;0;0;"Portuguese";"White";20;"League of Legends";4;5;75;25;0;NA;0;5;NA;NA;4;4;3;2;NA;NA;1;NA;1;NA;NA;3;1;NA;1;1;1;3;1;2;1;3;2;3;2;1;3;1;3;3;2;2;1;3;2;3;3;4;2;2;1;NA;NA;NA;3;3;NA;4;1;3;NA;NA;3;4;NA;3;NA;NA;1;NA;NA;1;1;NA;4;4;NA;NA;5;NA;2;2;1;NA;NA;1;NA;5;3;NA;NA;2;1;NA;NA;1;2;NA;NA;1
804;1;0;0;"Portuguese";"White";24;"Counter-Strike: Global Offensive";5;2;100;0;1;"Global";0;5;5;NA;NA;5;5;NA;NA;3;4;NA;1;NA;NA;2;NA;4;2;3;1;3;1;4;1;3;2;5;1;1;2;1;3;4;4;1;2;3;1;4;5;4;3;NA;2;2;3;NA;NA;4;NA;NA;NA;3;4;5;2;NA;4;NA;3;NA;1;NA;1;1;3;1;4;NA;NA;NA;NA;NA;NA;2;1;2;NA;NA;NA;4;1;NA;NA;1;NA;3;1;NA;1;NA;1;1
749;1;0;0;"Hungarian";"White";28;"Action RPG";10;6;40;60;0;NA;0;2;NA;NA;2;5;5;NA;NA;5;2;NA;NA;1;NA;5;NA;5;1;1;2;2;1;3;3;1;4;3;4;1;5;3;3;4;3;4;4;3;4;1;3;4;3;1;3;1;NA;NA;NA;4;5;5;2;NA;2;NA;2;NA;NA;3;NA;NA;1;5;4;NA;5;NA;2;NA;NA;NA;1;NA;NA;5;2;NA;2;NA;2;5;2;1;NA;1;NA;NA;NA;NA;3;4;4;NA
1000;0,9;0;1;"Hungarian";"White";24;"Classic rpg and platformer games";1;3;10;90;0;NA;0;4;NA;2;NA;5;4;NA;5;NA;2;3;NA;NA;NA;5;NA;5;1;1;1;2;1;3;3;4;2;2;2;1;5;1;2;3;3;2;3;1;2;2;4;2;2;NA;3;NA;2;NA;3;4;NA;1;2;NA;4;NA;5;2;NA;5;NA;NA;1;NA;2;NA;2;3;2;NA;NA;NA;4;NA;3;NA;1;NA;2;NA;4;4;4;NA;4;3;NA;NA;NA;NA;1;2;1;NA
763;1;0;0;"Greek";"Indian and Greek";18;"Fifa Mobile30";2;0;70;30;1;"Legendary 3";0;3;NA;1;NA;1;3;2;NA;NA;5;5;NA;NA;NA;2;NA;2;1;1;1;1;1;2;2;2;1;1;2;1;2;1;2;2;1;1;2;1;2;1;3;1;2;2;NA;NA;2;2;NA;5;NA;NA;NA;2;2;1;5;NA;2;NA;2;NA;0;2;NA;NA;3;1;3;NA;NA;5;NA;NA;3;3;2;NA;NA;3;3;5;NA;NA;4;NA;NA;5;NA;NA;2;2;1;NA
386;1;0;1;"English";"White";59;"Candy Crush";1;0;72;28;0;NA;0;1;NA;NA;1;1;4;4;NA;NA;3;NA;NA;3;5;5;NA;NA;1;1;1;1;1;1;1;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;2;1;3;NA;NA;3;3;3;NA;4;3;1;NA;4;3;NA;4;NA;NA;NA;NA;1;1;1;NA;NA;1;1;4;NA;NA;NA;5;5;NA;NA;1;2;NA;NA;5;5;1;1;NA;NA;NA;2;NA;1;2;NA;NA;1
636;0,9;0;0;"Poland";"Catholic";18;"League of Legends";2;1;80;20;0;NA;0;5;NA;NA;2;3;2;NA;1;NA;4;NA;5;NA;NA;2;NA;1;1;2;1;1;1;3;1;1;1;1;2;1;2;1;1;1;1;1;1;1;3;1;3;2;2;2;2;NA;NA;3;NA;3;3;3;NA;NA;NA;2;3;NA;1;NA;2;NA;1;NA;NA;2;3;1;5;2;NA;NA;NA;NA;NA;NA;3;4;5;NA;2;3;NA;3;NA;NA;4;NA;2;1;2;2;NA;NA
1059;1;0;0;"Chilean";"Latin";21;"Racing Games";6;2;70;30;0;NA;1;4;2;NA;NA;4;2;NA;2;NA;2;NA;1;NA;NA;3;NA;4;1;2;1;2;1;4;2;2;2;3;2;1;3;1;2;3;1;2;2;3;3;4;3;2;3;NA;3;NA;NA;3;2;4;NA;NA;3;3;NA;NA;3;NA;NA;2;3;4;1;NA;NA;1;2;NA;4;2;NA;4;NA;NA;2;NA;3;2;NA;4;NA;4;3;NA;4;NA;NA;3;NA;NA;1;2;NA;2
409;1;0;0;"Portuguese";"Caucasian";20;"League of Legends";12;10;50;50;0;NA;0;5;2;NA;NA;4;3;NA;NA;2;2;4;NA;NA;NA;4;5;NA;2;2;3;2;1;4;3;3;3;4;3;1;5;1;1;3;4;1;3;1;5;1;3;1;2;NA;NA;2;2;2;NA;1;3;NA;4;NA;NA;3;3;NA;5;3;NA;NA;1;4;NA;NA;5;NA;1;2;NA;1;NA;NA;NA;NA;2;1;2;NA;3;4;2;NA;4;NA;NA;4;NA;NA;1;NA;1;1
768;1;0;0;"Portuguese";"White";20;"League of Legends";8;4;70;30;0;NA;0;5;NA;NA;4;4;5;NA;5;NA;3;4;NA;NA;4;4;NA;NA;1;2;2;2;1;1;2;1;3;3;1;1;4;1;2;2;1;2;1;3;1;1;3;2;3;NA;2;2;NA;NA;3;4;4;NA;2;1;NA;NA;3;NA;NA;3;NA;4;1;3;NA;3;2;NA;4;NA;NA;NA;3;NA;2;NA;2;NA;3;NA;NA;5;NA;NA;1;1;1;2;NA;1;1;NA;1;NA
1347;1;0;1;"hungarian";"White European";29;"League of Legends";2;6;80;20;0;NA;0;3;1;NA;NA;2;4;NA;4;NA;1;NA;1;NA;NA;2;NA;2;1;2;1;2;1;4;4;1;2;1;1;1;4;2;2;3;3;1;1;1;2;1;1;4;3;NA;2;1;NA;NA;2;5;NA;NA;NA;2;NA;NA;4;3;3;4;NA;2;1;3;NA;3;2;1;4;NA;NA;NA;NA;4;NA;NA;1;5;NA;5;NA;4;2;NA;4;NA;NA;3;NA;NA;2;4;3;NA
993;1;0;0;"Poland";"Poland";18;"league of legends";11;3;88;12;0;NA;0;5;2;NA;NA;4;4;1;NA;NA;3;NA;NA;3;NA;4;4;NA;1;1;2;1;1;2;1;1;2;2;3;3;2;2;3;3;2;2;1;3;1;2;3;4;3;2;NA;3;3;NA;NA;3;NA;3;5;NA;5;NA;3;3;NA;2;NA;NA;1;1;NA;1;3;NA;4;3;NA;NA;NA;1;NA;NA;2;NA;3;1;NA;2;NA;2;3;NA;NA;NA;1;2;2;NA;NA;1
562;1;0;0;"Chile";"Latino";23;"Fighting Games";10;4;70;30;0;NA;1;5;NA;1;NA;3;2;3;NA;NA;4;5;NA;NA;NA;5;1;NA;2;3;2;2;1;4;1;2;1;2;2;1;3;3;1;2;3;3;3;2;5;3;4;5;2;1;NA;2;3;NA;NA;2;NA;4;4;NA;NA;NA;1;4;NA;NA;2;3;1;NA;NA;4;2;NA;4;3;NA;1;NA;NA;1;1;1;NA;NA;1;1;1;NA;1;4;NA;NA;NA;NA;1;1;1;NA;NA
566;0,9;0;2;"Australian";"Caucasian";26;"RPGs";4;2;10;90;0;NA;0;3;1;NA;NA;2;2;1;NA;NA;2;NA;NA;1;2;2;NA;NA;2;1;1;1;1;3;1;1;1;2;1;1;2;1;2;3;2;1;1;2;1;1;4;3;2;NA;NA;2;2;2;NA;3;NA;NA;1;1;4;NA;2;NA;NA;NA;1;2;1;NA;NA;2;2;NA;4;4;NA;NA;4;5;NA;2;2;NA;NA;2;2;4;NA;2;3;NA;NA;NA;NA;NA;2;2;2;NA
688;1;0;0;"Portuguese";"Caucasian";32;"Magic the Gathering";1;8;80;20;0;NA;0;2;1;NA;NA;2;2;NA;NA;1;2;NA;1;NA;NA;3;NA;2;1;1;1;2;1;1;1;1;1;2;1;1;3;1;2;1;1;1;1;1;1;2;3;1;3;2;2;NA;NA;NA;3;4;4;NA;3;4;NA;NA;2;NA;3;4;NA;NA;0;2;1;NA;1;NA;3;4;NA;NA;NA;NA;NA;4;2;NA;5;4;NA;4;NA;NA;4;NA;NA;2;1;2;2;NA;2;NA
628;1;0;0;"Portuguese";"white";18;"CS:GO";3;1;90;10;0;NA;0;4;NA;3;NA;2;4;NA;5;NA;3;NA;NA;2;NA;3;NA;1;1;2;1;2;1;3;2;3;3;3;3;3;4;3;4;3;2;3;3;3;4;4;3;4;2;NA;NA;NA;3;3;2;3;NA;5;NA;2;5;NA;3;NA;2;3;NA;NA;1;NA;NA;2;3;NA;3;NA;3;4;NA;3;NA;NA;2;NA;2;NA;3;4;NA;NA;3;2;NA;2;NA;NA;2;2;NA;1
537;1;0;0;"Portuguese";"White";20;"League of Legends";5;8;70;30;0;NA;0;4;1;NA;NA;4;2;1;NA;NA;3;NA;1;NA;NA;2;NA;2;2;3;2;1;1;1;1;3;2;2;2;1;2;1;2;2;3;2;1;1;1;2;3;1;3;NA;NA;3;3;NA;3;4;NA;NA;NA;4;2;NA;4;4;NA;3;3;NA;1;NA;NA;NA;1;NA;4;2;2;2;NA;2;NA;2;2;NA;NA;NA;2;4;2;2;NA;1;NA;NA;NA;2;2;NA;NA;2
